site,id,sex,agecat1,birthplace,ethn1,christian,edu,magic,name,category,y,ver
0,BEV044,1,1,Forest,2,0,4,0,b1_A,Social Organization & Gender,1,1
0,BEV044,1,1,Forest,2,0,4,0,b2_A,Social Organization & Gender,1,1
0,BEV044,1,1,Forest,2,0,4,0,b3_A,Social Organization & Gender,1,1
0,BEV044,1,1,Forest,2,0,4,0,b4_A,Social Organization & Gender,1,1
0,BEV044,1,1,Forest,2,0,4,0,b5_A,Social Organization & Gender,0,1
0,BEV044,1,1,Forest,2,0,4,0,b6_A,Social Organization & Gender,1,1
0,BEV044,1,1,Forest,2,0,4,0,b7_A,Social Organization & Gender,1,1
0,BEV044,1,1,Forest,2,0,4,0,b8_A,Social Organization & Gender,1,1
0,BEV044,1,1,Forest,2,0,4,0,b9_A,Social Organization & Gender,0,1
0,BEV044,1,1,Forest,2,0,4,0,b10_A,Social Organization & Gender,1,1
0,BEV044,1,1,Forest,2,0,4,0,b11_A,Social Organization & Gender,1,1
0,BEV044,1,1,Forest,2,0,4,0,b13_A,Social Organization & Gender,NA,1
0,BEV044,1,1,Forest,2,0,4,0,c1_A,Foraging Knowledge,0,1
0,BEV044,1,1,Forest,2,0,4,0,c2_A,Foraging Knowledge,0,1
0,BEV044,1,1,Forest,2,0,4,0,c3_A,Foraging Knowledge,0,1
0,BEV044,1,1,Forest,2,0,4,0,c5_A,Maritime Knowledge,NA,1
0,BEV044,1,1,Forest,2,0,4,0,c6_A,Agricultural Knowledge,5,1
0,BEV044,1,1,Forest,2,0,4,0,c7_A,Agricultural Knowledge,9,1
0,BEV044,1,1,Forest,2,0,4,0,c8_A,Agricultural Knowledge,9,1
0,BEV044,1,1,Forest,2,0,4,0,c10_A,Maritime Knowledge,NA,1
0,BEV044,1,1,Forest,2,0,4,0,d1_A,Supernatural,1,1
0,BEV044,1,1,Forest,2,0,4,0,d2_A,Supernatural,0,1
0,BEV044,1,1,Forest,2,0,4,0,d3_A,Supernatural,0,1
0,BEV044,1,1,Forest,2,0,4,0,d4_A,Supernatural,1,1
0,BEV044,1,1,Forest,2,0,4,0,d5_A,Food Taboos,1,1
0,BEV044,1,1,Forest,2,0,4,0,d6_A,Food Taboos,1,1
0,BEV044,1,1,Forest,2,0,4,0,d7_A,Food Taboos,0,1
0,BEV044,1,1,Forest,2,0,4,0,d8_A,Food Taboos,0,1
0,BEV044,1,1,Forest,2,0,4,0,d9_A,Food Taboos,0,1
0,BEV001,1,1,Forest,2,0,0,1,b1_A,Social Organization & Gender,0,1
0,BEV001,1,1,Forest,2,0,0,1,b2_A,Social Organization & Gender,1,1
0,BEV001,1,1,Forest,2,0,0,1,b3_A,Social Organization & Gender,1,1
0,BEV001,1,1,Forest,2,0,0,1,b4_A,Social Organization & Gender,0,1
0,BEV001,1,1,Forest,2,0,0,1,b5_A,Social Organization & Gender,0,1
0,BEV001,1,1,Forest,2,0,0,1,b6_A,Social Organization & Gender,1,1
0,BEV001,1,1,Forest,2,0,0,1,b7_A,Social Organization & Gender,1,1
0,BEV001,1,1,Forest,2,0,0,1,b8_A,Social Organization & Gender,0,1
0,BEV001,1,1,Forest,2,0,0,1,b9_A,Social Organization & Gender,0,1
