name,category,question_english,question_malagasy,Responses
b1_A,Social Organization & Gender,b1.  May people in the same clan marry?,b1.  … laha mifanambaly gn’olo raza raike?,0=normal; 1=not normal; 9=don't know; NA=no answer
b2_A,Social Organization & Gender,b2.  May cross-cousins marry? (first cousins not in the patrilineal clan).,b2.  … gn’olo manambaly gny foe’dreny (zokin’dreny sa zain-dreny)?,0=normal; 1=not normal; 9=don't know; NA=no answer
b3_A,Social Organization & Gender,b3.  May a man neglect to do soronanake (rites of filiation)?,b3.  … laha johary raiky tsy manao sononanake e?,0=normal; 1=not normal; 9=don't know; NA=no answer
b4_A,Social Organization & Gender,b4.  May a man marry a woman who is the age of his mother?,b4.  … laha johary raiky manambaly gn’olo sevake mitovy tao amin’dreniny?,0=normal; 1=not normal; 9=don't know; NA=no answer
b5_A,Social Organization & Gender,b5.  Can you make an offering to the ancestors of goat ovy or lojy beans if you do not have a cow?,b5.  … laha gn’olo misono gny razany amin gny bengy ovy lojy laha tsy manan’aombe?,0=normal; 1=not normal; 9=don't know; NA=no answer
b6_A,Social Organization & Gender,b6.  May a woman have multiple husbands?,b6.  … gny sevake manambaly lehilahy maro?,0=normal; 1=not normal; 9=don't know; NA=no answer
b7_A,Social Organization & Gender,b7.  May small children have play sex so long as the girl does not become pregnant?,b7.  … laha aja kelikely samy mifandranto laha ohatse ka tsy amin’troke gny aja ampela igny?,0=normal; 1=not normal; 9=don't know; NA=no answer
b8_A,Social Organization & Gender,b8.  May a man neglect to pay brideprice?,b8.  … laha olo raike zay laha tsy manao sori-baly?,0=normal; 1=not normal; 9=don't know; NA=no answer
b9_A,Social Organization & Gender,b9.  May a woman earn more money than a man?,b9.  … laha gny sevake mahazo drala maro noho gny valiny?,0=normal; 1=not normal; 9=don't know; NA=no answer
b10_A,Social Organization & Gender,b10.  May a man weave a mat?,b10. … gny johary laha mandrary tihy?,0=normal; 1=not normal; 9=don't know; NA=no answer
b11_A,Social Organization & Gender,b11.  Would you be sad if one of your daughters became a sarilahy (biological girl who dresses like and acts like a boy)?,b11.  … laha raike amin’anakao sevake reo sarilahy?,0=normal; 1=not normal; 9=don't know; NA=no answer
b13_A,Social Organization & Gender,b13.  is not normal or not normal for boys and girls to bathe together?,b13… mety miharo fandroa va gny johary ndrake ampela?,0=normal; 1=not normal; 9=don't know; NA=no answer
c1_A,Foraging Knowledge,c1.  Which has larger tubers on average (A) ovy latahy [the male plant] or (B) ovy somory (the female plant)?,c1.  Ino gny bevata (A) ovy latahy sa (B) ovy somory?,0=latahy; 1=somory; 9=don't know; NA=no answer
c2_A,Foraging Knowledge,c2. When you dig ovy which is easier (A) to dig a virgin patch or (B) to dig a previously harvested patch (ovy amparahale)?,c2.  Laha mihaly ovy iha aia gny mora (A) mihaly ovy amin tany mbo tsy nihalian’olo ovy sa (B) mihaly ovy amparahale (tany fa fanialia ovy)?,0=virgin patch; 1=revisited patch; 9-don't know; NA=no answer
c3_A,Foraging Knowledge,c3.  Put these parts of an ovy plant into the correct order:  “firambony” “toalany” “lohany.”,c3. Alaharo gny filaharan’gny ovy: Ambony zizik’ambany:  firambony taolany lohany. (A) Taolany-Firambony-Lohany (B) autre.,0=correct; 1=incorrect; 9=don't know; NA=no answer
c5_A,Maritime Knowledge,c5.  During what season do you find lots of fia dosoloha?,c5.  Anfotoa manao akory ty ahita ty fia dosoloha?  ,0=traditional new years (lohatao); 1=late dry season; 2=rainy season; 3=mid dry season; 4=early dry season; 5=all seasons; 9=don't know; NA=no answer
c6_A,Agricultural Knowledge,c6.  When your karaza (Masikoro Mikea Vezo) plants maize how many seeds do you normally plant?,c6. Anareo (Masikoro Mikea or vezo) lafa mamboly tsako firy vihin’tsako anaty lavake raike?,Number
c7_A,Agricultural Knowledge,c7.  When is the best time to do limbary for vary tivalantao?,c7. Amin’ny fotoa ino nareo manidrake hilimbary amin’ny vary tivalantao?,0=traditional new years (lohatao); 1=late dry season; 2=rainy season; 3=mid dry season; 4=early dry season; 5=all seasons; 9=don't know; NA=no answer
c8_A,Agricultural Knowledge,c8.  What variety of rice stores best?,c8.  Ino iaby gny karazam-bary farany soa (manahake vary stock) atao tahiry antragno? ,0=rove; 1=kenga; 2=mangato; 3=tsipala; 4=mangafotse; 5=filipiny; 6-tsipala mena; 7=madio; 8-sarifilipiny; 9=don't know; 10=varigasy; 11=bagaolady; 12=varilava; 13=varitanety; NA=no answer
